balance_date,fund,series,account,cash_balance,sweep_balance,projected_total_balance
2024-10-31,USG,MASTER,MAIN,$0.00,"$7,196,993.28","$7,196,993.28"
2024-10-31,USG,MONTHLY,MAIN,$0.00,"$7,196,993.28","$7,196,993.28"
2024-10-31,USG,MASTER,MARGIN,"-$570,000.00","$1,084,931.10","$514,931.10"
2024-10-31,USG,MONTHLY,MARGIN,"-$570,000.00","$1,084,931.10","$514,931.10"
2024-10-31,PRIME,MASTER,MAIN,$0.00,"$216,291,561.25","$252,651,397.62"
2024-10-31,PRIME,MASTER,MARGIN,"$23,046.89","$27,098,926.80","$27,158,788.03"
2024-10-31,PRIME,QUARTERLY1,MAIN,$0.00,"$46,169,091.29","$44,072,994.02"
2024-10-31,PRIME,QUARTERLY1,MARGIN,$0.00,"$2,930,410.43","$2,930,410.43"
2024-10-31,PRIME,MONTHLY,MAIN,$0.00,"$87,252,286.33","$96,465,401.80"
2024-10-31,PRIME,MONTHLY,MARGIN,$0.00,"$5,949,786.18","$5,949,786.18"
2024-10-31,PRIME,Q364,MAIN,$0.00,"$3,499,209.62","$4,800,024.67"
2024-10-31,PRIME,Q364,MARGIN,"$23,046.89","$5,047,413.00","$5,070,459.89"
2024-10-31,PRIME,A2Y,MAIN,$0.00,"$3,507,382.39","$9,698,473.97"
2024-10-31,PRIME,A2Y,MARGIN,$0.00,"$4,192,057.14","$4,192,057.14"
2024-10-31,PRIME,2YIG,MAIN,$0.00,$0.00,$0.00
2024-10-31,PRIME,2YIG,MARGIN,$0.00,$0.00,$0.00
2024-10-31,PRIME,QUARTERLYX,MAIN,$0.00,"$8,730,814.91","$9,584,945.54"
2024-10-31,PRIME,QUARTERLYX,MARGIN,$0.00,"$2,944,243.03","$2,944,243.03"
2024-10-31,PRIME,MONTHLY1,MAIN,$0.00,$0.00,$0.00
2024-10-31,PRIME,MONTHLY1,MARGIN,$0.00,$0.00,$0.00
2024-10-31,PRIME,S1,MAIN,$0.00,$0.00,$0.00
2024-10-31,PRIME,S1,MARGIN,$0.00,$0.00,$0.00
2024-10-31,PRIME,A1,MAIN,$0.00,"$7,217,171.09","$7,217,171.09"
2024-10-31,PRIME,A1,MARGIN,$0.00,$0.00,$0.00
2024-10-31,PRIME,MONTHLYIG,MAIN,$0.00,"$51,866,357.99","$71,575,366.72"
2024-10-31,PRIME,MONTHLYIG,MARGIN,$0.00,"$4,907,596.52","$4,907,596.52"
2024-10-31,PRIME,CUSTOM1,MAIN,$0.00,"$8,049,248.49","$9,237,020.66"
2024-10-31,PRIME,CUSTOM1,MARGIN,$0.00,"$1,127,420.50","$1,127,420.50"
2024-10-31,MMT,MASTER,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-10-31,MMT,TERM,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-10-31,MMT,MASTER,MARGIN,$0.00,$0.00,$0.00
2024-10-31,MMT,TERM,MARGIN,$0.00,$0.00,$0.00
2024-11-01,USG,MASTER,MAIN,$0.00,"$7,507,614.91","$7,253,614.91"
2024-11-01,USG,MONTHLY,MAIN,$0.00,"$7,507,614.91","$7,253,614.91"
2024-11-01,USG,MASTER,MARGIN,$0.00,"$514,931.10","$768,931.10"
2024-11-01,USG,MONTHLY,MARGIN,$0.00,"$514,931.10","$768,931.10"
2024-11-01,PRIME,MASTER,MAIN,$0.00,"$208,596,497.62","$217,746,601.19"
2024-11-01,PRIME,MASTER,MARGIN,$0.00,"$27,098,926.80","$27,373,918.78"
2024-11-01,PRIME,QUARTERLYX,MAIN,$0.00,"$9,031,921.84","$9,886,052.47"
2024-11-01,PRIME,QUARTERLYX,MARGIN,$0.00,"$2,944,243.03","$2,944,243.03"
2024-11-01,PRIME,S1,MAIN,$0.00,$0.00,$0.00
2024-11-01,PRIME,S1,MARGIN,$0.00,$0.00,$0.00
2024-11-01,PRIME,QUARTERLY1,MAIN,$0.00,"$44,677,888.66","$45,826,191.39"
2024-11-01,PRIME,QUARTERLY1,MARGIN,$0.00,"$2,930,410.43","$2,930,410.43"
2024-11-01,PRIME,A1,MAIN,$0.00,"$7,217,171.09","$7,217,171.09"
2024-11-01,PRIME,A1,MARGIN,$0.00,$0.00,$0.00
2024-11-01,PRIME,MONTHLYIG,MAIN,$0.00,"$56,564,746.46","$63,677,493.86"
2024-11-01,PRIME,MONTHLYIG,MARGIN,$0.00,"$4,907,596.52","$4,982,596.52"
2024-11-01,PRIME,MONTHLY,MAIN,$0.00,"$72,954,051.90","$78,493,925.92"
2024-11-01,PRIME,MONTHLY,MARGIN,$0.00,"$5,949,786.18","$6,088,888.82"
2024-11-01,PRIME,A2Y,MAIN,$0.00,"$9,698,473.97","$2,152,473.97"
2024-11-01,PRIME,A2Y,MARGIN,$0.00,"$4,192,057.14","$4,192,057.14"
2024-11-01,PRIME,Q364,MAIN,$0.00,"$1,467,857.33","$2,768,672.38"
2024-11-01,PRIME,Q364,MARGIN,$0.00,"$5,047,413.00","$5,047,413.00"
2024-11-01,PRIME,CUSTOM1,MAIN,$0.00,"$6,984,387.23","$7,724,620.96"
2024-11-01,PRIME,CUSTOM1,MARGIN,$0.00,"$1,127,420.50","$1,151,495.50"
2024-11-01,PRIME,MONTHLY1,MAIN,$0.00,$0.00,$0.00
2024-11-01,PRIME,MONTHLY1,MARGIN,$0.00,$0.00,$0.00
2024-11-01,PRIME,2YIG,MAIN,$0.00,$0.00,$0.00
2024-11-01,PRIME,2YIG,MARGIN,$0.00,$0.00,$0.00
2024-11-01,MMT,MASTER,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-01,MMT,TERM,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-01,MMT,MASTER,MARGIN,$0.00,$0.00,$0.00
2024-11-01,MMT,TERM,MARGIN,$0.00,$0.00,$0.00
2024-11-06,USG,MASTER,MAIN,$0.00,"$7,257,462.39","$7,257,462.39"
2024-11-06,USG,MONTHLY,MAIN,$0.00,"$7,257,462.39","$7,257,462.39"
2024-11-06,USG,MASTER,MARGIN,$0.00,"$1,049,931.10","$1,047,676.97"
2024-11-06,USG,MONTHLY,MARGIN,$0.00,"$1,049,931.10","$1,047,676.97"
2024-11-06,PRIME,MASTER,MAIN,$0.00,"$169,218,101.67","$172,700,413.83"
2024-11-06,PRIME,MASTER,MARGIN,$0.00,"$32,007,168.17","$32,007,168.17"
2024-11-06,PRIME,S1,MAIN,$0.00,$0.00,$0.00
2024-11-06,PRIME,S1,MARGIN,$0.00,$0.00,$0.00
2024-11-06,PRIME,Q364,MAIN,$0.00,"$4,608,580.75","$4,608,580.75"
2024-11-06,PRIME,Q364,MARGIN,$0.00,"$5,397,733.94","$5,397,733.94"
2024-11-06,PRIME,CUSTOM1,MAIN,$0.00,"$2,877,054.10","$3,008,844.99"
2024-11-06,PRIME,CUSTOM1,MARGIN,$0.00,"$1,329,373.66","$1,329,373.66"
2024-11-06,PRIME,QUARTERLY1,MAIN,$0.00,"$50,605,151.86","$50,605,160.23"
2024-11-06,PRIME,QUARTERLY1,MARGIN,$0.00,"$3,418,445.76","$3,418,445.76"
2024-11-06,PRIME,MONTHLY,MAIN,$0.00,"$37,873,368.47","$38,936,454.70"
2024-11-06,PRIME,MONTHLY,MARGIN,$0.00,"$8,124,658.66","$8,124,658.66"
2024-11-06,PRIME,A1,MAIN,$0.00,"$7,227,217.99","$7,227,217.99"
2024-11-06,PRIME,A1,MARGIN,$0.00,$0.00,$0.00
2024-11-06,PRIME,QUARTERLYX,MAIN,$0.00,"$12,367,799.46","$12,367,800.74"
2024-11-06,PRIME,QUARTERLYX,MARGIN,$0.00,"$3,367,971.29","$3,367,971.29"
2024-11-06,PRIME,MONTHLYIG,MAIN,$0.00,"$51,471,073.28","$53,758,498.67"
2024-11-06,PRIME,MONTHLYIG,MARGIN,$0.00,"$6,176,950.41","$6,176,950.41"
2024-11-06,PRIME,A2Y,MAIN,$0.00,"$2,187,856.62","$2,187,856.62"
2024-11-06,PRIME,A2Y,MARGIN,$0.00,"$4,192,034.46","$4,192,034.46"
2024-11-06,PRIME,2YIG,MAIN,$0.00,$0.00,$0.00
2024-11-06,PRIME,2YIG,MARGIN,$0.00,$0.00,$0.00
2024-11-06,PRIME,MONTHLY1,MAIN,$0.00,$0.00,$0.00
2024-11-06,PRIME,MONTHLY1,MARGIN,$0.00,$0.00,$0.00
2024-11-06,MMT,MASTER,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-06,MMT,TERM,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-06,MMT,MASTER,MARGIN,$0.00,$0.00,$0.00
2024-11-06,MMT,TERM,MARGIN,$0.00,$0.00,$0.00
2024-11-07,USG,MASTER,MAIN,$0.00,"$7,257,462.39","$7,257,462.39"
2024-11-07,USG,MONTHLY,MAIN,$0.00,"$7,257,462.39","$7,257,462.39"
2024-11-07,USG,MASTER,MARGIN,$0.00,"$2,117,676.97","$2,117,676.97"
2024-11-07,USG,MONTHLY,MARGIN,$0.00,"$2,117,676.97","$2,117,676.97"
2024-11-07,PRIME,MASTER,MAIN,"$12,576,762.29","$124,137,102.97","$142,989,432.25"
2024-11-07,PRIME,MASTER,MARGIN,$0.00,"$33,097,168.17","$33,097,168.17"
2024-11-07,PRIME,QUARTERLYX,MAIN,"$1,305,809.49","$12,138,421.30","$13,444,232.07"
2024-11-07,PRIME,QUARTERLYX,MARGIN,$0.00,"$3,445,320.04","$3,445,320.04"
2024-11-07,PRIME,A1,MAIN,$0.00,"$7,227,217.99","$7,227,217.99"
2024-11-07,PRIME,A1,MARGIN,$0.00,$0.00,$0.00
2024-11-07,PRIME,MONTHLY,MAIN,"$1,647,379.27","$15,313,553.57","$18,374,946.16"
2024-11-07,PRIME,MONTHLY,MARGIN,$0.00,"$8,612,679.23","$8,612,679.23"
2024-11-07,PRIME,A2Y,MAIN,"$212,501.85","$1,975,354.77","$2,187,856.62"
2024-11-07,PRIME,A2Y,MARGIN,$0.00,"$4,192,034.46","$4,192,034.46"
2024-11-07,PRIME,MONTHLYIG,MAIN,"$3,953,725.61","$36,752,671.27","$43,647,072.27"
2024-11-07,PRIME,MONTHLYIG,MARGIN,$0.00,"$6,528,608.43","$6,528,608.43"
2024-11-07,PRIME,Q364,MAIN,"$505,096.66","$4,695,230.06","$6,951,767.03"
2024-11-07,PRIME,Q364,MARGIN,$0.00,"$5,511,562.10","$5,511,562.10"
2024-11-07,PRIME,MONTHLY1,MAIN,$0.00,$0.00,$0.00
